name,description,image,animation_url
Energy Shard #72,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #73,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #74,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #75,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #76,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #77,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #78,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #79,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #80,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #81,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #82,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #83,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #84,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #85,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #86,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #87,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #88,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #89,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #90,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #91,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #92,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #93,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #94,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #95,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #96,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #97,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #98,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #99,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #100,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #101,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
Energy Shard #102,Energy Shard are used to turn into a Battery.,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe,ipfs://bafybeibf7ooo7zty7jcu26uofapdbqlnln2wgsastmgowkt5vgzhq7hbpe
